pl_orbsmax,pl_masse
0.024980,711.93920
,
,
0.047530,189.10885
,
,
,
0.037630,241.55080
0.037000,239.32479
,
,
0.054120,292.72143
,
,
,
0.060430,191.33366
,
,
,
0.034930,1000.21101
,
,
0.057980,327.36490
,
0.061120,256.17098
,
2.504000,
,
,
,
,
0.036230,101.38777
,
0.047080,210.40346
,
,
,
0.079080,1080.62200
,
0.041630,56.89157
,
0.040260,305.11680
,
,
,
0.065620,305.11680
,
0.044970,260.93843
,
,
0.047140,1694.03390
,
,
0.030320,460.85350
,
,
0.050710,410.00070
,
,
,
0.032110,183.38791
,
,
0.040120,38.13960
0.040120,39.09309
,
,
,
0.036320,4100.00700
,
0.037450,117.59710
,
,
,
,
0.066517,39.85588
,
,
0.023840,464.02947
0.032742,156.05375
,
,
0.026580,835.57088
,
0.036070,436.69623
0.046680,46.08535
0.046670,43.86054
0.030480,261.57409
,
0.031200,
,259.34928
,
0.030480,266.02371
53.000000,
0.760000,
0.680000,
1.030000,
1.030000,
1.060000,390.92894
0.064120,
0.064100,
0.128590,
0.128600,
0.269900,
0.269900,
0.492900,
0.492900,
1.427000,
1.422000,
3.400000,
3.381000,
0.300000,
0.302000,
0.150000,
0.153200,
0.153200,
0.149000,
0.150000,
0.049100,
,
0.049000,
0.050000,
0.614000,
0.580000,
0.510000,
1.810000,
2.030000,
,
0.460000,
4.074000,
0.080700,
0.080000,
0.081000,
0.250000,
0.249000,
0.049800,
0.070000,
3.255000,918.52410
3.270000,
0.439000,
0.264300,
0.267300,
0.260000,
2.335000,
2.340000,
2.030000,
2.010000,
0.715000,
0.950000,
0.780000,
0.091000,
35.731000,8419.59233
3.380000,
2.610000,
2.700000,
2.703300,
2.611000,
2.655000,3178.28407
3.347000,3623.24384
4.300000,
3.340000,
,
,
0.090120,
0.090500,
0.090700,12.60000
0.088870,
0.150300,
0.152600,
,
0.153300,
,
,
0.153600,15.20000
2.030000,
2.015000,
,
4.590000,
4.480000,6006.95689
4.491000,3025.09078
650.000000,3496.00000
,4115.89850
2.051000,1825.28854
2.131000,
2.143000,2151.69832
2.160000,
2.140000,
2.156000,
0.366800,
0.269000,
0.140700,
0.102000,
0.104000,
3.700000,953.48522
,
0.046900,
0.045270,
,
0.062000,
0.065100,
0.113100,
,
0.107400,
,
0.140000,
0.136700,
0.175800,
2.029000,715.11392
2.000000,
1.320000,
1.450000,
1.400000,
1.038000,
1.060000,
1.052000,
1.053000,
1.040000,
1.051000,
1.051000,
2.770000,
2.830000,
2.680000,
2.659000,
2.658000,
0.330000,
0.330000,
0.079000,
0.196000,
1.259000,
0.061500,
0.063500,
0.060000,
0.950000,
,
,
,
,
12.518000,6935.33367
2.500000,
2.140000,
2.120000,
0.113000,
,
,
0.035000,4.55000
0.068000,
16.714000,8612.83200
13.380000,2598.56506
1.970000,
2.148000,2531.50326
1.970000,
1.900000,
2.051000,2374.17820
18.800000,6579.04802
17.250000,5740.93452
2.500000,
1.910000,1525.57635
1.820000,
1.330000,
1.700000,
1.022000,
0.920000,
,
6.805000,6299.67686
0.923000,
0.710000,
1.240000,
2.440000,
2.430000,
1.600000,
0.510900,2542.62726
1.730000,
1.650000,
5.160000,
5.340000,
2.110000,
2.080000,
2.094000,
2.067000,
2.100000,
1.200000,
1.164000,
1.169000,
1.160000,
,
4.970000,
5.000000,603.87397
20.247000,2510.52659
2.600000,
2.430000,
2.480000,
2.708000,
2.900000,
2.800000,1551.00263
0.774000,
0.639000,
0.750000,
0.721000,
12.235000,2346.52713
0.088000,
11.364000,3279.67133
4.530000,2685.65004
5.000000,
1.780000,
1.650000,
,
3.780000,
3.773000,669.34663
3.790000,
3.744000,
3.787000,
3.740000,
,
1.090000,
1.080000,
0.170000,
0.170000,
0.180000,
0.176000,
0.070000,
0.070000,
,
3.185000,
,
3.160000,
3.340000,
0.231500,
0.229000,
1.890000,
1.890000,
1.930000,
4.300000,
4.210000,2034.10180
4.120000,2415.49589
4.341000,1831.32728
0.330000,
0.330000,
0.054000,
22.210000,3135.69506
0.406000,
0.860000,
0.297000,
10.817000,3465.60095
3.496000,8646.20398
3.160000,
3.184000,10806.16584
0.080000,
0.080900,
1.349000,
1.372000,
1.200000,
1.370000,
1.370000,
0.050000,
0.052400,
0.051000,
4.200000,
3.982000,2281.37231
4.060000,
0.540000,
0.540000,
1.837000,
0.831000,
0.824000,
0.807900,
0.790000,
0.831000,
0.840000,
2.900000,
2.814500,
2.861000,
2.860000,
2.249000,107.74383
2.291000,
2.350000,
2.370000,
0.287000,
1.099000,
1.086000,
1.084000,
1.020000,
,
1.088000,
1.742000,
,
1.745000,
1.760000,
1.740000,1204.25787
0.870000,
2.900000,
2.984000,797.74930
0.090000,
0.092500,
0.092900,
0.088000,
0.089600,
2.090000,
2.110000,
2.010000,
4.100000,
1.250000,
1.850000,
1.980000,
1.980000,
1.969000,1970.53612
2.620000,
1.440000,
4.490000,
6.150000,
0.044400,
2.392800,
0.820000,
0.810000,
0.820000,
0.818000,
0.810000,
5.800000,
6.620000,
5.400000,731.00534
4.172000,1744.56013
2.353000,5244.16872
2.327000,4164.18779
0.096400,4.72000
,
0.093400,
0.096900,4.62000
,
0.172100,11.24000
0.172900,11.29000
0.166600,
0.425000,8.82000
0.412800,
0.428500,
1.290000,
1.320000,
5.130000,
0.534000,
0.890000,
0.890000,
0.027320,4.04000
1.216300,
0.105190,
0.255400,
0.154000,
2.030000,
5.150000,
5.323000,
,
5.150000,
5.338000,889.91954
2.360000,
2.350000,5784.47701
2.949000,6315.56828
,
0.109700,131.89945
,
0.100300,116.64361
3.400000,
5.236000,5001.66564
5.300000,
5.150000,4862.77463
5.290000,4735.64326
0.085000,
7.421000,1997.23371
11.800000,572.09113
0.123800,
0.417600,
0.422500,
0.415000,
0.693000,
0.702300,
0.689000,
2.114000,
2.090000,
2.134800,
4.500000,
4.896800,
5.000000,
1.487700,
1.520000,
1.500000,
0.474000,
1.039000,
1.045000,
1.020000,
1.000000,
6.800000,
9.811000,3464.64746
2.939000,1433.40612
2.930000,
3.030000,
2.770000,
2.780000,
1.050000,
1.060000,
0.037900,
2.000000,
1.988000,
1.994000,1382.55357
2.000000,
2.050000,1557.35919
1.980000,
0.242000,
0.450000,
0.450000,
0.760000,
0.760000,
0.762000,
0.610000,
16.400000,
11.924000,1597.08775
4.600000,
4.730000,
4.890000,658.54046
0.063438,
0.063400,
0.063600,
,
0.112100,
0.111700,
0.238800,
1.922000,
0.319300,
,
0.323000,
0.331500,
1.320000,
1.700000,
0.522000,
1.360000,
2.450000,
0.993000,
6.150000,
0.930000,
1.040000,
,
0.043200,
0.042880,113.14748
0.043640,102.34126
,116.95700
0.043130,114.10097
,120.77540
0.042000,
,102.97692
,
,
0.053000,
0.052000,
0.053000,
0.050000,
12.404000,4003.68444
1.400000,
1.262000,
1.310000,
6.700000,
11.500000,772.32303
0.160000,
14.131000,1636.18064
4.187000,
3.980000,
3.200000,
1.660000,
1.480000,
1.490000,
,
0.105300,11.56000
,
,27.50000
0.052450,7.20000
,
0.052200,7.51000
0.123500,8.79000
,
0.126800,8.11000
0.068000,
0.111000,
21.449000,8725.66109
1.280000,
1.280000,
0.134000,
4.210000,
,
4.300000,
4.272000,
4.200000,378.21580
4.190000,
0.590000,
0.600000,
0.600000,
1.200000,
1.290000,
1.291000,
5.360000,
1.040000,
0.630000,
0.640000,
1.020000,
0.030000,
13.183000,1878.04806
0.167000,
8.415000,1661.60691
0.495000,
0.504100,
0.490000,
0.502000,
5.461000,
,
5.486000,3098.82697
1.880000,
0.050240,
,
0.050000,
1.570000,
1.120000,
0.993000,
1.096000,
1.520000,
1.500000,
,
,
,
,
,
,
2.100000,
,
0.090000,
0.141000,
0.110000,
0.800000,
2.320000,
2.000000,
2.300000,
2.250000,
1.032000,
1.000000,
1.480000,
1.490000,
1.492000,
3.520000,
3.584000,
1.500000,
1.497000,
1.650000,
1.500000,
1.535000,
,1366.66215
5.543000,
4.170000,
5.235000,
,1398.44499
0.092860,
0.090000,
,
0.090940,
,2224.79885
0.921000,
0.934000,
0.850000,
0.360000,
0.360900,
0.363000,
2.148000,
2.100000,
2.130000,1875.18760
2.120000,
0.074000,
0.080000,
0.362000,
0.362000,
0.360000,
2.380000,
2.390000,
2.420000,
0.140000,
0.875000,
0.870000,
0.230000,
1.331000,
1.300000,
2.115000,
2.149000,
2.100000,
2.110000,
2.160000,
0.341100,
0.341000,
0.335100,
0.103000,
0.102300,
0.229200,
3.540000,5943.39121
3.590000,6038.73973
1.130000,
0.940000,
5.420000,
5.170000,1207.74795
1.300000,
1.304000,
1.220000,
1.320000,
2.877000,905.81096
2.900000,1175.96511
0.151200,
0.119200,
0.300000,
0.297700,
0.292000,
0.293100,
0.300000,
0.290000,
2.881000,
2.910000,
2.842000,5500.33841
2.840000,
2.837300,
2.910000,
0.070000,
0.065000,
0.065040,
0.065900,
10.961000,2154.87660
1.360000,
1.300000,
6.443000,2881.11451
8.800000,3591.46100
37.200000,953.48522
0.810000,
0.813000,
0.820000,
0.765000,
3.075000,2437.42605
3.600000,
3.282000,
,
3.290000,2828.67282
2.213000,
2.240000,
2.100000,
1.310000,
,
1.130000,
1.320000,
1.320000,
2.518000,2796.88998
2.540000,
2.570000,
,
0.161400,1023.37000
,1115.58330
,1014.15300
0.163700,1036.76146
0.162780,1028.18005
,
0.160700,
0.150000,
1.158000,
1.160000,
1.000000,
1.700000,
2.438000,3114.71839
2.307000,2037.59792
2.400000,
2.400000,
0.975000,
0.990000,
0.960000,
1.030000,
,
1.420000,
0.062960,
0.118780,
0.246000,
1.221800,
1.140000,
1.180000,
1.227000,
0.496000,
0.513700,
0.340000,
0.339900,
,
0.345000,
0.339000,
0.121600,
0.120000,
0.121400,
0.044390,
0.045000,
0.045000,
0.044300,
0.843000,
3.820000,1048.83374
3.870000,
1.460000,
1.340000,
1.400000,
1.448000,
0.343000,
0.335700,
1.380000,
1.390000,
1.400000,
7.520000,3219.60176
7.427000,2980.91263
7.520000,
7.430000,
1.592000,
1.780000,
1.780000,
1.650000,
0.088000,
17.530000,3177.64841
0.080100,
0.080000,
0.080130,
0.080000,
1.819000,
1.773100,
1.760000,
6.600000,
3.293470,
3.000000,
1.780000,
1.850000,
1.490000,
1.520000,
